car_name,model,mpg,miles,gallons,price,city_percentage,fuelup_date,date_added,tags,notes,missed_fuelup,partial_fuelup,latitude,longitude,brand
"2009 Toyota Tacoma TRD Sport DC LB","Toyota Tacoma",17.23,287.2,16.666,2.829,50,2018-02-03,2018-02-03 16:26:29,"","",0,0,,,""
"2009 Toyota Tacoma TRD Sport DC LB","Toyota Tacoma",15.62,187.8,12.023,2.769,50,2018-01-22,2018-01-22 02:01:22,"","",0,0,,,""
"2009 Toyota Tacoma TRD Sport DC LB","Toyota Tacoma",14.79,254.6,17.22,2.729,50,2018-01-14,2018-01-14 01:15:23,"","",0,0,,,""
"2009 Toyota Tacoma TRD Sport DC LB","Toyota Tacoma",20.83,298.4,14.329,2.669,50,2017-12-31,2017-12-31 18:54:25,"","",0,0,,,""
"2009 Toyota Tacoma TRD Sport DC LB","Toyota Tacoma",15.3,196.1,12.818,2.669,50,2017-12-30,2017-12-30 14:30:05,"","",0,0,,,""
"2009 Toyota Tacoma TRD Sport DC LB","Toyota Tacoma",14.66,234.1,15.97,2.532,50,2017-12-25,2017-12-25 03:20:32,"","",0,0,,,""
"2009 Toyota Tacoma TRD Sport DC LB","Toyota Tacoma",15.43,246.8,15.998,2.609,50,2017-12-10,2017-12-10 02:28:13,"","Towing and 4 wheel drive in this fill up. ",0,0,,,""
"2009 Toyota Tacoma TRD Sport DC LB","Toyota Tacoma",17.15,249.6,14.552,2.669,50,2017-11-24,2017-11-24 13:57:00,"","",0,0,,,""
"2009 Toyota Tacoma TRD Sport DC LB","Toyota Tacoma",16.05,175.1,10.91,2.619,50,2017-11-12,2017-11-12 17:21:22,"","",0,0,,,""
"2009 Toyota Tacoma TRD Sport DC LB","Toyota Tacoma",17.39,273.6,15.737,2.579,50,2017-11-02,2017-11-02 01:10:36,"","",0,0,,,""
"2009 Toyota Tacoma TRD Sport DC LB","Toyota Tacoma",20.67,300.5,14.536,2.499,50,2017-10-19,2017-10-19 23:52:10,"","",0,0,,,""
"2009 Toyota Tacoma TRD Sport DC LB","Toyota Tacoma",19.1,260.5,13.64,2.259,50,2017-10-15,2017-10-15 16:17:12,"","",0,0,,,""
"2009 Toyota Tacoma TRD Sport DC LB","Toyota Tacoma",18.46,253,13.708,2.429,50,2017-10-14,2017-10-14 12:11:37,"","",0,0,,,""
